Price	Description	Category	Product name	Page title	Image URL	Options	Parts Brand	Model Brand	Model Year	Displacement	Model Name	JAN
"120007*"	"<table style=""width: 100%; background-color: #ffffff;"" border=""0""><tbody><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカー</td><td colspan=""5"">USヨシムラ</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">適合車種</td><td width=""101"">HONDA</td><td colspan=""2"" width=""139"">CBR1000RR RS-5</td><td bgcolor=""#e7e7e7"">年式</td><td>2004年-2007年式</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">マフラータイプ</td><td colspan=""5"">フルエキゾーストマフラー</td></tr><tr><td rowspan=""2"" bgcolor=""#e7e7e7"" width=""139"">サイレンサー素材</td><td colspan=""2"" width=""101"">型番:1200072</td><td colspan=""3"" width=""101"">カーボン製</td></tr><tr><td colspan=""2"" width=""101"">型番:1200075</td><td colspan=""3"" width=""101"">ステンレス製</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">中間パイプ</td><td colspan=""5""><span>ステンレス製</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">添付品</td><td colspan=""5""><span>中間パイプ,サイレンサー,マフラーバンド,バッフル,金具一式,その他</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">通常納期</td><td colspan=""5"">2週間から1ヶ月程度<span>※2</span></td></tr><tr><td bgcolor=""#e7e7e7"">車検</td><td colspan=""5""><span>非適合。国内での公道利用は出来ません。</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカーURL</td><td colspan=""5""><a href=""http://www.yoshimura-rd.com/"">http://www.yoshimura-rd.com/</a></td></tr></tbody></table><table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""2""><tbody><tr><td align=""center"" valign=""top"" width=""27""><span>※1</span></td><td width=""525""><span>メイン画像はカーボン製(1200072)のものを表示しております。</span></td></tr><tr><td align=""center"" valign=""top"" width=""27""><span>※2</span></td><td width=""525""><span>納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</span></td></tr></tbody></table><p>?</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ フルエキゾースト"	"USヨシムラ CBR1000RR 04-07 RS-5 フルエキ 1200072 1200075"	"USヨシムラ CBR1000RR 04-07 RS-5 フルエキ"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/0/22.jpg?t=1579168232"	"(（株）ギガステーション) サイレンサー: R[カーボン:1200072,ステンレス:1200075///modifier=-18000.000///modifier_type=A,チタン:1200077///modifier=14000.000///modifier_type=A]///inventory=N///missing_variants_handling=M///multiupload=N///required=N///status=A"	"USヨシムラ"	"ホンダ"	"2007(平成19)年式, 2006(平成18)年式, 2005(平成17)年式以前"	"751cc～1000cc"	"ホンダ CBR1000RR/SP/SP2"	"120007*"
"1215252-CA"	"<p>RS-3 Slip-On<br /> <br /> メイン画像はカーボンタイプのものです。<br /> <br /> カーボンサイレンサーの中間パイプはステンレス製です。<br /> <br />注意：車検対応ではございません。<br /> <br /> 通常納期：約10-20営業日 ※</p><p>メーカーページはこちらを<a href=""http://www.yoshimura-rd.com/"">クリック</a>してください。</p><p>※納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ スリップオン/ボルトオン"	"USヨシムラ CBR600F4i 2001-2006 RS-3 スリップオン 1215252-CA 1215255-CA"	"USヨシムラ CBR600F4i 01-06 RS-3 スリップオン"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/133/1215252-CA.jpg?t=1578977330"	"(（株）ギガステーション) サイレンサータイプ: R[カーボン：1215252-CA///image=exim/backup/images/variant_image/RS3ca12955998784d3949062f13b.jpg,ステンレス:1215255-CA///modifier=-18000.000///modifier_type=A///image=exim/backup/images/variant_image/RS3st12955998784d39490631037.jpg]///inventory=Y///missing_variants_handling=M///multiupload=N///required=N///status=A"	"USヨシムラ"	"ホンダ"	"2006(平成18)年式, 2005(平成17)年式以前"	"401cc～650cc"	"ホンダ CBR600F4i"	"1215252-CA"
"1215262-CA"	"<table style=""width: 100%; background-color: #ffffff;"" border=""0""><tbody><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカー</td><td colspan=""5"">USヨシムラ</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">適合車種</td><td width=""101"">HONDA</td><td colspan=""2"" width=""113"">CBR600F4i</td><td colspan=""2"">2001年-2006年式</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">マフラータイプ</td><td colspan=""5"">スリップオン</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">サイレンサータイプ</td><td colspan=""5"">TRS</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">サイレンサー素材</td><td style=""width: 118px;"">型番：1215262-CA</td><td colspan=""3"" width=""113"">カーボン</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">重量</td><td colspan=""5""><span>メーカー非公開</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">添付品</td><td colspan=""5""><span>サイレンサー,中間パイプ,サイレンサーバンド,バッフル,金具類一式</span><span> </span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">通常納期</td><td colspan=""5"">2週間から3週間程度<strong><span> ※</span></strong></td></tr><tr><td bgcolor=""#e7e7e7"">公道利用</td><td colspan=""5""><span>国内での公道利用は出来ません。</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカーURL</td><td colspan=""5""><a href=""http://www.yoshimura-rd.com/"" target=""_blank"">http://www.yoshimura-rd.com/</a></td></tr></tbody></table><table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""2""><tbody><tr><td align=""center"" valign=""top"" width=""27""><span>※</span></td><td width=""525""><span>納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</span></td></tr></tbody></table><p>?</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ スリップオン/ボルトオン"	"USヨシムラ CBR600F4i 01-06 TRS カーボン スリップオン 1215262-CA"	"USヨシムラ CBR600F4i 01-06 TRS カーボンスリップオン"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/133/1215262-CA.jpg?t=1578977330"	""	"USヨシムラ"	"ホンダ"	"2006(平成18)年式, 2005(平成17)年式以前"	"401cc～650cc"	"ホンダ CBR600F4i"	"1215262-CA"
"1227272"	"<p>?RS-5 Slip-On</p><p><br /> メイン画像はカーボンタイプのものです。<br /> <br /> 国内仕様にも装着実績有り。<br /> <br /> 注意：車検対応ではございません。<br /> <br /> 通常納期：約10-20営業日 ※<br /> <br /> 特に断り書きが無い場合すべて中間パイプはステンレス製です。</p><p>メーカーページはこちらを<a href=""http://www.yoshimura-rd.com/"">クリック</a>してください。</p><p>※納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ スリップオン/ボルトオン"	"USヨシムラ CBR600RR 2007-2008 RS-5 スリップオン 1227272 1227275"	"USヨシムラ CBR600RR 07-08 RS-5 スリップオン 1227272 1227275"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/133/road_RS5_CF_L.jpg?t=1578977341"	"(（株）ギガステーション) サイレンサータイプ: R[カーボン:1227272///image=exim/backup/images/variant_image/RS5ca12956004164d394b207d951.jpg,ステンレス:1227275///modifier=-18000.000///modifier_type=A///image=exim/backup/images/variant_image/RS5st12956004164d394b207f8a3.jpg]///inventory=Y///missing_variants_handling=M///multiupload=N///required=N///status=A"	"USヨシムラ"	"ホンダ"	"2008(平成20)年式, 2007(平成19)年式"	"401cc～650cc"	"ホンダ CBR600RR"	"1227272"
"140707*"	"<table style=""width: 100%; background-color: #fff;"" border=""0""><tbody><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカー</td><td colspan=""5"">USヨシムラ</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">適合車種</td><td width=""101"">KAWASAKI</td><td colspan=""2"" width=""113"">Ninja250R</td><td bgcolor=""#e7e7e7"">年式</td><td>2008年-2012年式</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">マフラータイプ</td><td colspan=""5"">フルエキゾーストマフラー</td></tr><tr><td rowspan=""2"" bgcolor=""#e7e7e7"" width=""139"">サイレンサー素材</td><td colspan=""2"" width=""101"">型番:1407072</td><td colspan=""3"" width=""101"">カーボン製</td></tr><tr><td colspan=""2"" width=""101"">型番:1407075</td><td colspan=""3"" width=""101"">ステンレス製</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">中間パイプ</td><td colspan=""5""><span>ステンレス製</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">添付品</td><td colspan=""5""><span>中間パイプ,サイレンサー,マフラーバンド,バッフル,金具一式,その他※2</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">通常納期</td><td colspan=""5"">2週間から1ヶ月程度<span>※3</span></td></tr><tr><td bgcolor=""#e7e7e7"">車検</td><td colspan=""5""><span>非適合。国内での公道利用は出来ません。</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカーURL</td><td colspan=""5""><a href=""http://www.yoshimura-rd.com/"">http://www.yoshimura-rd.com/</a></td></tr></tbody></table><table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""2""><tbody><tr><td align=""center"" valign=""top"" width=""27""><span>※1</span></td><td width=""525""><span>メイン画像はカーボン製(1407072)のものを表示しております。</span></td></tr><tr><td align=""center"" valign=""top"" width=""27""><span>※2</span></td><td width=""525""><span>O2センサー付きモデル用のO2センサーの処理は穴あけ加工か、O2センサーエリミネーターによる無効化で対応可能です。（O2センサーの穴あけ加工には1週間前後納期の延長が必要です。また、一度開封し加工部分を外しますのでご了承ください。）</span></td></tr><tr><td align=""center"" valign=""top"" width=""27""><span>※3</span></td><td width=""525""><span>納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</span></td></tr></tbody></table><p>ご注意:O2センサー搭載車には加工、又はO2センサーキャンセル処理が必要です。</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ フルエキゾースト"	"USヨシムラ Ninja250R 08-12 TRC フルエキ 1407072 1407075"	"USヨシムラ Ninja250R 08-12 TRC フルエキ"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/2/46.jpg?t=1578974305"	"(（株）ギガステーション) O2センサー穴あけ加工: R[不要,必要///modifier=10800.000///modifier_type=A]///inventory=N///missing_variants_handling=M///multiupload=N///required=N///status=A; (（株）ギガステーション) O2センサーエリミネーター: R[不要,必要///modifier=2980.000///modifier_type=A]///inventory=N///missing_variants_handling=M///multiupload=N///required=N///status=A; (（株）ギガステーション) サイレンサー: R[カーボン:1407072,ステンレス:1407075///modifier=-18000.000///modifier_type=A]///inventory=Y///missing_variants_handling=M///multiupload=N///required=N///status=A"	"USヨシムラ"	"カワサキ"	"2012(平成24)年式, 2011(平成23)年式, 2010(平成22)年式, 2009(平成21)年式, 2008(平成20)年式"	"151cc～250cc"	"カワサキ NINJA250R"	"140707*"
"1407272"	"<p>TRC Slip-On<br /> <br /> メイン画像はカーボンタイプのものです。<br /> <br />注意：車検対応ではございません。<br /> <br />通常納期：約10-20営業日 ※<br /> 特に断り書きが無い場合すべて中間パイプはステンレス製です。</p><p>メーカーページはこちらを<a href=""http://www.yoshimura-rd.com/"">クリック</a>してください。</p><p>※納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ スリップオン/ボルトオン"	"USヨシムラ Ninja 250R 08-12 TRC スリップオン 1407272 1407275"	"USヨシムラ KAWASAKI Ninja 250R 08-12 TRC スリップオン"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/133/1407272_C_L.jpg?t=1578977331"	"(（株）ギガステーション) サイレンサータイプ: R[カーボンサイレンサー:1407272,ステンレスサイレンサー:1407275///modifier=-22000.000///modifier_type=A]///inventory=Y///missing_variants_handling=M///multiupload=N///required=N///status=A"	"USヨシムラ"	"カワサキ"	"2012(平成24)年式, 2011(平成23)年式, 2010(平成22)年式, 2009(平成21)年式, 2008(平成20)年式"	"151cc～250cc"	"カワサキ NINJA250R"	"1407272"
"1417202"	"<p>R-77 Slip-On<br /> <br />カーボンサイレンサー/カーボンエンドキャップ<br /><br /> 注意：車検対応ではございません。<br /> <br /> 通常納期：約10-20営業日 ※<br /> <br /> 特に断り書きが無い場合すべて中間パイプはステンレス製です。</p><p>メーカーページはこちらを<a href=""http://www.yoshimura-rd.com/"">クリック</a>してください。</p><p>※納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ スリップオン/ボルトオン"	"USヨシムラ Ninja ZX-10R 2008-2010 R-77 スリップオン カーボンサイレンサー 1417202"	"USヨシムラ KAWASAKI Ninja ZX-10R 08-10 R-77 スリップオン"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/207/ROAD_R77_CF_MUFFLER_54001917-2122-4610-9154-45e19e5b84bd_720x.jpg?t=1579168387"	""	"USヨシムラ"	"カワサキ"	"2010(平成22)年式, 2009(平成21)年式, 2008(平成20)年式"	"751cc～1000cc"	"カワサキ NINJA ZX-10R"	"1417202"
"1170002"	"<table style=""background-color: #fff; width: 100%;"" border=""0""><tbody><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカー</td><td colspan=""5"">USヨシムラ</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">適合車種</td><td>SUZUKI</td><td>GSX-R600</td><td bgcolor=""#e7e7e7"">年式</td><td>2008年-2010年式</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">マフラータイプ</td><td colspan=""5"">フルシステムマフラー R-77</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">サイレンサー素材</td><td colspan=""2"" width=""101"">型番:1170002</td><td colspan=""3"" width=""131"">カーボン製</td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">中間パイプ</td><td colspan=""5""><span>ステンレス製</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">添付品</td><td colspan=""5""><span>中間パイプ,サイレンサー,マフラーバンド,バッフル,金具一式,その他</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">通常納期</td><td colspan=""5"">約10-20営業日<span>※</span></td></tr><tr><td bgcolor=""#e7e7e7"">車検</td><td colspan=""5""><span>非適合。国内での公道利用は出来ません。</span></td></tr><tr><td bgcolor=""#e7e7e7"" width=""139"">メーカーURL</td><td colspan=""5""><a href=""http://www.yoshimura-rd.com/"">http://www.yoshimura-rd.com/</a></td></tr></tbody></table><table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""2""><tbody><tr><td align=""center"" valign=""top"" width=""27""><span>※</span></td><td width=""525""><span>納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。</span></td></tr></tbody></table><p>?</p>"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ フルエキゾースト"	"USヨシムラ GSX-R750 08-10 R-77 フルエキ カーボン 1170002"	"USヨシムラ GSX-R750 08-10 R-77 フルエキ 1170002 1170005"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/133/s-l1000_z0yk-2r.jpg?t=1578977345"	""	"USヨシムラ"	"スズキ"	"2010(平成22)年式, 2009(平成21)年式, 2008(平成20)年式"	"651cc～750cc"	"スズキ GSX-R750"	"1170002"
"1170202"	"<p>R-77 Slip-On<br /> <br /> メイン画像はカーボンタイプのものです。<br /> <br /> <br /> 注意：車検対応ではございません。<br /> <br /> 通常納期：約10-20営業日 ※<br /> <br /> 特に断り書きが無い場合すべて中間パイプはステンレス製です。</p><p>メーカーページはこちらを<a href=""http://www.yoshimura-rd.com/"">クリック</a>してください。</p>※納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ スリップオン/ボルトオン"	"USヨシムラ GSX-R750 2008-2010 R-77 スリップオンマフラー"	"USヨシムラ GSX-R750 08-10 R-77 スリップオンマフラー"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/133/1170202_B_L_zxhe-m9.jpg?t=1578977330"	"(（株）ギガステーション) サイレンサータイプ: R[カーボン:1170202,ステンレスサイレンサーカーボンキャップ:1170205///modifier=-15000.000///modifier_type=A]///inventory=Y///missing_variants_handling=M///multiupload=N///required=N///status=A"	"USヨシムラ"	"スズキ"	"2010(平成22)年式, 2009(平成21)年式, 2008(平成20)年式"	"651cc～750cc"	"スズキ GSX-R750"	"1170202"
"1170272"	"<p>TRC Slip-On<br /> <br /> メイン画像はカーボンタイプのものです。<br /><br /> <br /> 注意：車検対応ではございません。<br /> 通常納期：約10-20営業日 ※<br /> <br /> 特に断り書きが無い場合すべて中間パイプはステンレス製です。</p><p>メーカーページはこちらを<a href=""http://www.yoshimura-rd.com/"">クリック</a>してください。</p>※納期は通常納期の目安です。ご注文いただいた商品がバッグオーダーの場合お客様にご連絡いたします。その時点でのキャンセルではキャンセル料は必要ございませんのでご安心ください。但し、注文確定後はお客様ご都合のキャンセル及び返品等は出来ません。詳しくは<a href=""http://gigastation.jp/about-us.html"" target=""_blank"">こちら</a>をご覧ください。"	"輸入メーカー///アメリカ///USヨシムラ///USヨシムラ スリップオン/ボルトオン"	"USヨシムラ GSX-R750 2008-2010 TRCスリップオン 1170272 1170275"	"USヨシムラ GSX-R750 08-10 TRCスリップオン 1170272 1170275"	"https://d2bln9d034cv4j.cloudfront.net/images/detailed/206/1170272_C_L_720x_9n6d-a0.jpg?t=1578980301"	"(（株）ギガステーション) サイレンサータイプ: R[カーボン:1170272,ステンレス:1170275///modifier=-22000.000///modifier_type=A]///inventory=Y///missing_variants_handling=M///multiupload=N///required=N///status=A"	"USヨシムラ"	"スズキ"	"2010(平成22)年式, 2009(平成21)年式, 2008(平成20)年式"	"651cc～750cc"	"スズキ GSX-R750"	"1170272"
